GeneCluster	OTUCluster	statistic	p.value	p.adj
2	2	6.96585290749955	3.87208417719371e-05	0.000223355193096008
1	2	6.43967950535284	7.44517310320026e-05	0.000223355193096008
1	1	3.64821342136938	0.0044755145254276	0.00895102905085521
2	1	1.8626174693242	0.0921183143520115	0.138177471528017
2	3	1.01428794540593	0.334357318325861	0.401228781991033
1	3	0.00584540983875457	0.995451032544054	0.995451032544054
