Tissue	Soil	family	gene	Symbol	Direction	Core	baseMean	log2FoldChange_SIvsMI	stderror	statistic	p.value	p.adjusted
Root	Arbuckle	LRR-RLK	LOC_Os01g03370	NA	Upregulated by MB	TRUE	82.8564359498201	5	2.37623898956534	3.27304338053988	0.00106396146750597	0.00628393248729286
Root	Arbuckle	NLR	LOC_Os01g05620	Pit	Downregulated by MB	FALSE	81.3936990160107	-0.842898104746128	0.320922857811384	-2.62648198540449	0.00862725589985702	0.0353614929820342
Root	Arbuckle	LRR-RLK	LOC_Os01g05870	NA	Downregulated by MB	TRUE	107.553185467611	-3.43189946680448	0.450860763051362	-7.61188319777012	2.70130634487783e-14	1.63617318375634e-12
Root	Arbuckle	NLR	LOC_Os01g08370	NA	Downregulated by MB	TRUE	147.500538919345	-1.16879472471192	0.264354989967446	-4.42130759421583	9.81053993415427e-06	0.000111963444976109
Root	Arbuckle	LRR-RLK	LOC_Os01g12390	NA	Downregulated by MB	FALSE	1083.44067013663	-0.854755112260619	0.199694024715378	-4.28032392796376	1.86621483359838e-05	0.00019662329289734
Root	Arbuckle	LRR-RLK	LOC_Os01g12790	NA	Downregulated by MB	TRUE	216.017882129415	-1.43681044665327	0.363571759362276	-3.95193083525935	7.75231491530966e-05	0.000675391192330114
Root	Arbuckle	LRR-RLK	LOC_Os01g13800	NA	Downregulated by MB	FALSE	7704.36283366273	-0.521248174271904	0.125785699602016	-4.14393826898547	3.41391678552408e-05	0.000331281412228825
Root	Arbuckle	NLR	LOC_Os01g16370	NA	Upregulated by MB	FALSE	82.6324779223784	0.786074341990757	0.276468502729542	2.84326906765123	0.00446533557347189	0.0207538308558882
Root	Arbuckle	NLR	LOC_Os01g16400	NA	Downregulated by MB	TRUE	50.2359796199915	-2.19942249147419	0.281345193216863	-7.81752290247541	5.38729299111129e-15	3.62964603177238e-13
Root	Arbuckle	NLR	LOC_Os01g20720	NA	Downregulated by MB	FALSE	91.7880477722118	-0.650214251302913	0.239544609011613	-2.71437647453544	0.00664006584600409	0.0286606511663231
Root	Arbuckle	NLR	LOC_Os01g25720	NA	Downregulated by MB	FALSE	3878.15742376622	-0.590244198356359	0.148322774570691	-3.97945763935968	6.90726657434149e-05	0.000610576841122582
Root	Arbuckle	NLR	LOC_Os01g33684	NA	Downregulated by MB	FALSE	584.900003611991	-0.399634435011299	0.148209218613657	-2.69642090248814	0.0070089041203641	0.0299025742094247
Root	Arbuckle	NLR	LOC_Os01g33810	NA	Downregulated by MB	TRUE	458.136140446103	-0.432392882648147	0.142868228585542	-3.02651532064914	0.00247390283740768	0.0127222246096905
Root	Arbuckle	NLR	LOC_Os01g36640	NA	Downregulated by MB	FALSE	560.988487872056	-0.475404623234574	0.163258987632372	-2.91196601258545	0.00359161712958042	0.0173111720678015
Root	Arbuckle	LRR-RLK	LOC_Os01g39600	NA	Upregulated by MB	FALSE	203.73337615595	0.778240769399804	0.296003634987793	2.62915950147672	0.00855962031237585	0.0351333056401697
Root	Arbuckle	NLR	LOC_Os01g42330	NA	Downregulated by MB	FALSE	267.218952214914	-1.03781274393342	0.222852532313142	-4.65694840063624	3.20930838921994e-06	4.17710395436893e-05
Root	Arbuckle	LRR-RLK	LOC_Os01g48390	NA	Downregulated by MB	FALSE	1556.95367839973	-1.1842919140937	0.210389893306093	-5.6290342443907	1.81221420181674e-08	3.99611531954728e-07
Root	Arbuckle	LRR-RLK	LOC_Os01g49920	NA	Downregulated by MB	TRUE	166.869279734398	-1.29552192180343	0.309142637496973	-4.19069311270954	2.78103601137796e-05	0.000277682973109343
Root	Arbuckle	NLR	LOC_Os01g52320	NA	Downregulated by MB	FALSE	24.435293370096	-3.90036407947679	0.885961792936306	-4.40240663939917	1.0705666268779e-05	0.000121156843204716
Root	Arbuckle	NLR	LOC_Os01g52330	NA	Downregulated by MB	FALSE	66.6943132711648	-1.14672764861271	0.398756731950827	-2.87575746496517	0.00403059282316149	0.0190969909543371
Root	Arbuckle	NLR	LOC_Os01g58520	NA	Downregulated by MB	TRUE	228.904552564929	-0.696414972939469	0.199386357660122	-3.4927914884056	0.000477999591052078	0.00320098475847967
Root	Arbuckle	NLR	LOC_Os01g58530	NA	Downregulated by MB	TRUE	369.324435727653	-1.45060768488285	0.184416810766821	-7.86591894118056	3.6639774339749e-15	2.52858980757485e-13
Root	Arbuckle	LRR-RLK	LOC_Os01g59570	NA	Downregulated by MB	TRUE	2629.15216358553	-1.74441837628608	0.156851380721579	-11.1214728761778	9.86301080704869e-29	3.90671564343755e-26
Root	Arbuckle	LRR-RLK	LOC_Os01g59580	NA	Downregulated by MB	TRUE	246.011964933268	-2.70666350699457	0.260846948246373	-10.3764430643754	3.17380529093798e-25	7.9495421288697e-23
Root	Arbuckle	LRR-RLK	LOC_Os01g60060	NA	Downregulated by MB	FALSE	540.703258829142	-0.53006378998222	0.177160597945626	-2.9919959411342	0.00277159948048108	0.0139680544062758
Root	Arbuckle	LRR-RLK	LOC_Os01g60330	NA	Downregulated by MB	TRUE	145.080461319077	-1.16553923789697	0.270674540168232	-4.3060541902927	1.66192360345918e-05	0.000177602052947907
Root	Arbuckle	LRR-RLK	LOC_Os01g65650	NA	Upregulated by MB	FALSE	1705.89748213731	1.29886586817002	0.301156940551034	4.31292025278733	1.61112243433874e-05	0.000172976295550582
Root	Arbuckle	LRR-RLK	LOC_Os01g68870	NA	Downregulated by MB	TRUE	222.299283180834	-1.30623224426429	0.238380023378922	-5.47962126082999	4.26237243325829e-08	8.65080788342967e-07
