Soil	OTU_ID	Direction	baseMean	estimate	stderror	statistic	p.value	p.adjusted
Arbuckle	FPLS01039234.11.1486	Enriched in SG	17.3648802140015	-6.82133125856426	1.1794066495018	-5.70317104854036	1.17598867275088e-08	2.46518316547731e-07
Arbuckle	AB240368.1.1441	Enriched in SG	17.9679443396223	-6.72753731362663	1.15447939468963	-5.77912244286113	7.50912642451541e-09	1.65984342357549e-07
Arbuckle	JQ801224.1.1496	Enriched in SG	4.4648809870722	-5.77983314101588	1.18992533086655	-4.84388814728603	1.27322626647614e-06	1.64291429917886e-05
Arbuckle	KJ540845.1.1483	Enriched in SG	3.25038688131602	-3.77250605891251	1.47787122798364	-2.55436896650565	0.0106380461713903	0.0425187317101793
Arbuckle	KC011168.1.1525	Enriched in SG	7.47764965004379	-7.09983954513539	1.91992533803853	-3.57652471625552	0.000348192408967324	0.0022636959171226
Arbuckle	BBPC01190614.7148.8812	Enriched in SI	16.2467349503689	4.99287442174008	1.31456590681497	3.71563400500476	0.000202694805010068	0.00140395148320325
Arbuckle	FQ660158.1.1291	Enriched in SG	1.74621268866907	-3.92834505436122	1.49446437211156	-2.61824873693623	0.00883823543280559	0.0361292015540483
Arbuckle	AB672221.1.1426	Enriched in SG	1.54454806429489	-3.04008984271958	1.097732374562	-2.76000706498102	0.00578001115360617	0.0258673703166928
Arbuckle	JQ668537.1.1541	Enriched in SG	10.1887824279423	-5.81154071714442	1.50222903389916	-3.85972437394932	0.000113514988045179	0.000838822963985014
Arbuckle	FJ375397.1.1587	Enriched in SI	14.666327999126	2.99169318941012	0.860801836661952	3.45115298748344	0.000558197059110475	0.00342951400404422
Arbuckle	AB240491.1.1488	Enriched in SG	7.84101409128427	-5.34973931116344	1.10092570854688	-4.86861734635128	1.12381780960211e-06	1.48017869015988e-05
Arbuckle	HM461197.1.1492	Enriched in SI	5.38858003155146	6.95377436330268	1.26136946832721	5.38910005329454	7.08113773022586e-08	1.2162332506915e-06
